fly position,center of mass,laser status
410.57,410.57,0
412.82,412.82,0
417.1,417.1,0
425.24,425.24,0
432.91,432.91,0
440.27,440.27,0
447.44,447.44,0
459.64,459.64,0
469.43,469.43,0
480.95,480.95,0
492.55,492.55,0
504.3,504.3,0
517.14,517.14,0
531.26,531.26,0
541.16,541.16,0
541.27,541.27,0
546.6,546.6,0
549.81,549.81,0
557.35,557.35,0
564.17,564.17,0
575.69,575.69,0
584.9,584.9,0
598.16,598.16,0
610.71,610.71,0
622.79,622.79,0
634.27,634.27,0
647.01,647.01,0
657.72,657.72,0
669.59,669.59,0
674.99,674.99,0
676.9,676.9,0
677.16,677.16,0
683.96,683.96,0
691.13,691.13,0
698.42,698.42,0
705.06,705.06,0
711.41,711.41,0
719.9,719.9,0
727.12,727.12,0
734.95,734.95,0
740.33,740.33,0
745.85,745.85,0
751.06,751.06,0
752.68,752.68,0
754.6,754.6,0
759.04,759.04,0
761.65,761.65,0
767,766.18,0
767,NaN,0
767,765.46,0
767,NaN,0
767,NaN,0
767,NaN,0
767,727.85,0
733.61,733.61,0
731.57,731.57,0
729.13,729.13,0
729.52,729.52,0
725.22,725.22,0
722.74,722.74,0
720.86,720.86,0
720.86,NaN,0
720.86,NaN,0
720.86,NaN,0
720.86,761.02,0
762.68,762.68,0
761.23,761.23,0
759.21,759.21,0
759.35,759.35,0
761.31,761.31,0
761.31,NaN,0
761.31,NaN,0
761.31,NaN,0
761.31,NaN,0
761.31,NaN,0
761.31,NaN,0
761.31,727.6,0
725.7,725.7,0
722.89,722.89,0
718.4,718.4,0
712.69,712.69,0
707.09,707.09,0
703.02,703.02,0
695.51,695.51,0
686.47,686.47,0
677.23,677.23,0
670.09,670.09,0
661.77,661.77,0
652.12,652.12,0
642.68,642.68,0
633.35,633.35,0
624.58,624.58,0
615.9,615.9,0
606.19,606.19,0
593.32,593.32,0
582.67,582.67,0
571.45,571.45,0
561.21,561.21,0
557.65,557.65,0
546.79,546.79,0
534.74,534.74,0
520.18,520.18,0
509.3,509.3,0
497.41,497.41,0
486.31,486.31,0
479.41,479.41,0
471.02,471.02,0
462.9,462.9,0
454.13,454.13,0
449.09,449.09,0
443.31,443.31,0
439.07,439.07,0
430.64,430.64,0
420.13,420.13,0
409.39,409.39,0
399.38,399.38,0
386.52,386.52,0
377.38,377.38,0
367.4,367.4,0
356.86,356.86,0
346.34,346.34,0
334.55,334.55,0
324.94,324.94,0
315.11,315.11,0
308.72,308.72,0
300.09,300.09,0
287.13,287.13,0
274.65,274.65,0
262.28,262.28,0
250.52,250.52,0
240.35,240.35,0
230.78,230.78,0
223.18,223.18,0
211.77,211.77,0
198.21,198.21,0
186.45,186.45,0
